Website,URL,Result
Forever 21,https://www.forever21.com/,Labor Day Blowout Sale 50% Off Everything
COS,https://www.cos.com/en_usd/index.html,UP TO 25% OFF WITH CODE: SHOPFALL | WOMEN MEN
COS,https://www.cos.com/en_usd/index.html,15% OFF $150+
COS,https://www.cos.com/en_usd/index.html,25% OFF $250+
COS,https://www.cos.com/en_usd/index.html,10% off + free shipping
Everlane,https://www.everlane.com/,25% Off Sitewide
Frame,https://frame-store.com/,Limited Time: Extra 30% Off Markdowns
Madewell,https://www.madewell.com/,EXTRA 40% OFF SALE*
Madewell,https://www.madewell.com/,25% OFF FALL ESSENTIALS*
Madewell,https://www.madewell.com/,EXTRA 50% OFF SELECT DENIM*
Abercome & Fitch,https://www.abercrombie.com/shop/us,20% Off All NFL + 15% Off Almost Everything Else | Free Shipping On Orders Over $99
Jcrew,https://www.jcrew.com/,The Long-weekend Event: 40% off sitewide.
Jcrew,https://www.jcrew.com/,EXTRA 60% OFF SALE STYLES*
Sandro,https://us.sandro-paris.com/,Enjoy an additional 20% off Sale
Sandro,https://us.sandro-paris.com/,UP TO 50% OFF
Maje,https://us.maje.com/,"Labor Day: Enjoy up to 50% off. Plus, an additional 20% off select styles - SHOP NOW"
Mango,https://shop.mango.com/us/en,EXTRA 30% OFF
Gap,https://www.gap.com/,40–60% Off New Favorites & Extra 60% Off Sale
